event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
953033,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-14,大阪府,スタンダード,64,16
953020,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,奈良県,スタンダード,64,16
953021,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛知県,スタンダード,64,16
953022,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛知県,スタンダード,64,16
953023,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛知県,スタンダード,64,16
953024,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,静岡県,スタンダード,64,16
953025,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,大阪府,スタンダード,64,16
953026,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,京都府,スタンダード,64,16
953027,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,三重県,スタンダード,64,16
953028,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛媛県,スタンダード,64,16
953030,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛知県,スタンダード,64,16
953031,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,愛知県,スタンダード,64,16
953032,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-14,大阪府,スタンダード,64,16
952669,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,北海道,スタンダード,64,16
952670,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,北海道,スタンダード,64,16
952671,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,北海道,スタンダード,64,16
952672,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,青森県,スタンダード,64,16
952678,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,山形県,スタンダード,64,8
952679,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,宮城県,スタンダード,64,16
952680,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,福島県,スタンダード,64,16
